profile,seed_split,job_id,scenario,seed,variant,variant_label,failure_mode,unit,target,truth,call,status,outcome,evidence,final_evaluation
smoke,calibration,smoke_abundance_only_calibration_seed0,abundance_only,0,A_mean_shift_one_rep,A. original mean shift on one representation,centroid_shift,state,state_0,False,False,assessed,correctly_rejects,scgeo.tl.shift on X_truth,False
smoke,calibration,smoke_abundance_only_calibration_seed0,abundance_only,0,A_mean_shift_one_rep,A. original mean shift on one representation,centroid_shift,state,state_1,False,False,assessed,correctly_rejects,scgeo.tl.shift on X_truth,False
smoke,calibration,smoke_abundance_only_calibration_seed0,abundance_only,0,A_mean_shift_one_rep,A. original mean shift on one representation,centroid_shift,state,state_2,False,False,assessed,correctly_rejects,scgeo.tl.shift on X_truth,False
smoke,calibration,smoke_abundance_only_calibration_seed0,abundance_only,0,A_mean_shift_one_rep,A. original mean shift on one representation,centroid_shift,state,state_3,False,False,assessed,correctly_rejects,scgeo.tl.shift on X_truth,False
smoke,calibration,smoke_abundance_only_calibration_seed0,abundance_only,0,A_mean_shift_one_rep,A. original mean shift on one representation,centroid_shift,state,state_4,False,False,assessed,correctly_rejects,scgeo.tl.shift on X_truth,False
smoke,evaluation,smoke_abundance_only_evaluation_seed1,abundance_only,1,A_mean_shift_one_rep,A. original mean shift on one representation,centroid_shift,state,state_0,False,False,assessed,correctly_rejects,scgeo.tl.shift on X_truth,True
smoke,evaluation,smoke_abundance_only_evaluation_seed1,abundance_only,1,A_mean_shift_one_rep,A. original mean shift on one representation,centroid_shift,state,state_1,False,False,assessed,correctly_rejects,scgeo.tl.shift on X_truth,True
smoke,evaluation,smoke_abundance_only_evaluation_seed1,abundance_only,1,A_mean_shift_one_rep,A. original mean shift on one representation,centroid_shift,state,state_2,False,False,assessed,correctly_rejects,scgeo.tl.shift on X_truth,True
smoke,evaluation,smoke_abundance_only_evaluation_seed1,abundance_only,1,A_mean_shift_one_rep,A. original mean shift on one representation,centroid_shift,state,state_3,False,False,assessed,correctly_rejects,scgeo.tl.shift on X_truth,True
smoke,evaluation,smoke_abundance_only_evaluation_seed1,abundance_only,1,A_mean_shift_one_rep,A. original mean shift on one representation,centroid_shift,state,state_4,False,False,assessed,correctly_rejects,scgeo.tl.shift on X_truth,True
smoke,calibration,smoke_aligned_dynamics_calibration_seed0,aligned_dynamics,0,A_mean_shift_one_rep,A. original mean shift on one representation,centroid_shift,state,state_0,True,True,assessed,detects_correctly,scgeo.tl.shift on X_truth,False
smoke,calibration,smoke_aligned_dynamics_calibration_seed0,aligned_dynamics,0,A_mean_shift_one_rep,A. original mean shift on one representation,centroid_shift,state,state_1,True,True,assessed,detects_correctly,scgeo.tl.shift on X_truth,False
smoke,calibration,smoke_aligned_dynamics_calibration_seed0,aligned_dynamics,0,A_mean_shift_one_rep,A. original mean shift on one representation,centroid_shift,state,state_2,False,False,assessed,correctly_rejects,scgeo.tl.shift on X_truth,False
smoke,calibration,smoke_aligned_dynamics_calibration_seed0,aligned_dynamics,0,A_mean_shift_one_rep,A. original mean shift on one representation,centroid_shift,state,state_3,False,False,assessed,correctly_rejects,scgeo.tl.shift on X_truth,False
smoke,calibration,smoke_aligned_dynamics_calibration_seed0,aligned_dynamics,0,A_mean_shift_one_rep,A. original mean shift on one representation,centroid_shift,state,state_4,False,False,assessed,correctly_rejects,scgeo.tl.shift on X_truth,False
smoke,evaluation,smoke_aligned_dynamics_evaluation_seed1,aligned_dynamics,1,A_mean_shift_one_rep,A. original mean shift on one representation,centroid_shift,state,state_0,True,True,assessed,detects_correctly,scgeo.tl.shift on X_truth,True
smoke,evaluation,smoke_aligned_dynamics_evaluation_seed1,aligned_dynamics,1,A_mean_shift_one_rep,A. original mean shift on one representation,centroid_shift,state,state_1,True,True,assessed,detects_correctly,scgeo.tl.shift on X_truth,True
smoke,evaluation,smoke_aligned_dynamics_evaluation_seed1,aligned_dynamics,1,A_mean_shift_one_rep,A. original mean shift on one representation,centroid_shift,state,state_2,False,False,assessed,correctly_rejects,scgeo.tl.shift on X_truth,True
smoke,evaluation,smoke_aligned_dynamics_evaluation_seed1,aligned_dynamics,1,A_mean_shift_one_rep,A. original mean shift on one representation,centroid_shift,state,state_3,False,False,assessed,correctly_rejects,scgeo.tl.shift on X_truth,True
